Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200623960","80NSSC17K0006","UNIVERSITY OF MARYLAND - COLLEGE PARK","HQ","DECADAL-SCALE VARIABILITY AND TRENDS IN ARCTIC SEA ICE THICKNESS AND VOLUME","STUDIES WITH ICESAT AND CRYOSAT -2","SINEAD FARRELL","Sanaz Vahidinia","2017-07-20","2017-04-24","2020-04-23","Approved/ Awarded","Distribution"
"4200629709","80NSSC17K0008","UNIVERSITY OF COLORADO ? BOULDER","HQ","THE SOLAR DYNAMO REVEALED","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NICHOLAS FEATHERSTONE","Guan Le","2017-07-19","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"(N/A)","80NSSC17K0008 P00001","UNIVERSITY OF COLORADO - BOULDER","HQ","THE SOLAR DYNAMO REVEALED","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NICHOLAS FEATHERSTONE","Ramona Kessel","2017-08-16","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200629708","80NSSC17K0009","UNIVERSITY OF NEW HAMPSHIRE","HQ","PHYSICAL ORIGINS OF SUPRATHERMAL ION POPULATIONS THROUGHOUT THE HELIOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","NOE LUGAZ","Ramona Kessel","2017-08-15","2017-08-01","2020-07-31","Approved/ Awarded","Distribution"
"4200629706","80NSSC17K0012","AUBURN UNIVERSITY","HQ","FAST FLOWS IN THE MAGNETOTAIL AND ENERGETIC PARTICLE TRANSPORT: MULTISCALE COUPLING IN THE MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","YU LIN","Ramona Kessel","2017-07-10","2017-06-13","2020-02-12","Approved/ Awarded","Distribution"
"4200629704","80NSSC17K0013","UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH","HQ","THE DYNAMICS AND EFFECTS OF THE SUBAURORAL POLARIZATION STREAMS","HELIOPHYSICS GRAND CHALLENGES RESEARCH","WENBIN WANG","Ramona Kessel","2017-07-14","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200629691","80NSSC17K0014","UNIVERSITY OF CALIFORNIA - LOS ANGELES","HQ","MULTISCALE NATURE OF PLASMA ACCELERATION AND ENERGIZATION AT EARTH'S MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","JEAN BERCHEM","EKATERINA M VERNER","2017-07-28","2017-07-19","2020-07-18","Approved/ Awarded","Distribution"
"4200629690","80NSSC17K0015","UNIVERSITY OF MICHIGAN - ANN ARBOR","HQ","OUTFLOW AND GEOSPACE: IMPACT AND FEEDBACK OF HEAVY IONS IN THE MAGNETOSPHERE","HELIOPHYSICS GRAND CHALLENGES RESEARCH","Michael Liemohn","EKATERINA M VERNER","2017-08-16","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200629689","80NSSC17K0016","NEW JERSEY INSTITUTE OF TECHNOLOGY","HQ","DATA-CONSTRAINED, DATA-DRIVEN AND LABORATORY-TESTED MHD SIMULATIONS TO UNDERSTAND THE SUCCESSFUL AND FAILED SOLAR ERUPTIONS","HELIOPHYSICS GRAND CHALLENGES RESEARCH","HAIMIN WANG","Guan Le","2017-08-22","2017-06-23","2020-06-22","Approved/ Awarded","Distribution"
"4200629490","80NSSC17K0017","UNIVERSITY OF COLORADO - BOULDER","HQ","THE INTERACTION OF MASS MOVEMENTS WITH NATURAL HAZARDS UNDER CHANGING HYDROLOGIC CONDITIONS","INTERDISCIPLINARY SCIENCE","KRISTY TIAMPO","Gerald Bawden","2017-07-19","2017-06-22","2021-06-21","Approved/ Awarded","Distribution"
